"","x"
"211","SPECULATING"
"212","SPECULATION"
"213","SPECULATIONS"
"214","SPECULATIVE"
"215","SPECULATIVELY"
"216","SPORADIC"
"217","SPORADICALLY"
"218","SUDDEN"
"219","SUDDENLY"
"220","SUGGEST"
"221","SUGGESTED"
"222","SUGGESTING"
"223","SUGGESTS"
"224","SUSCEPTIBILITY"
"225","TENDING"
"226","TENTATIVE"
"227","TENTATIVELY"
"228","TURBULENCE"
"229","UNCERTAIN"
"230","UNCERTAINLY"
"231","UNCERTAINTIES"
"232","UNCERTAINTY"
"233","UNCLEAR"
"234","UNCONFIRMED"
"235","UNDECIDED"
"236","UNDEFINED"
"237","UNDESIGNATED"
"238","UNDETECTABLE"
"239","UNDETERMINABLE"
"240","UNDETERMINED"
"241","UNDOCUMENTED"
"242","UNEXPECTED"
"243","UNEXPECTEDLY"
"244","UNFAMILIAR"
"245","UNFAMILIARITY"
"246","UNFORECASTED"
"247","UNFORSEEN"
"248","UNGUARANTEED"
"249","UNHEDGED"
"250","UNIDENTIFIABLE"
"251","UNIDENTIFIED"
"252","UNKNOWN"
"253","UNKNOWNS"
"254","UNOBSERVABLE"
"255","UNPLANNED"
"256","UNPREDICTABILITY"
"257","UNPREDICTABLE"
"258","UNPREDICTABLY"
"259","UNPREDICTED"
"260","UNPROVED"
"261","UNPROVEN"
"262","UNQUANTIFIABLE"
"263","UNQUANTIFIED"
"264","UNRECONCILED"
"265","UNSEASONABLE"
"266","UNSEASONABLY"
"267","UNSETTLED"
"268","UNSPECIFIC"
"269","UNSPECIFIED"
"270","UNTESTED"
"271","UNUSUAL"
"272","UNUSUALLY"
"273","UNWRITTEN"
"274","VAGARIES"
"275","VAGUE"
"276","VAGUELY"
"277","VAGUENESS"
"278","VAGUENESSES"
"279","VAGUER"
"280","VAGUEST"
"281","VARIABILITY"
"282","VARIABLE"
"283","VARIABLES"
"284","VARIABLY"
"285","VARIANCE"
"286","VARIANCES"
"287","VARIANT"
"288","VARIANTS"
"289","VARIATION"
"290","VARIATIONS"
"291","VARIED"
"292","VARIES"
"293","VARY"
"294","VARYING"
"295","VOLATILE"
"296","VOLATILITIES"
"297","VOLATILITY"
